analysis_stream,city,summer_n,winter_n,paired_n,paired_definition,notes
PPM personal PM analysis,Milan,54,45,32,Unique city-prefixed participants with valid stream support in both summer and winter.,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window."
PPM personal PM analysis,Thessaloniki,51,57,34,Unique city-prefixed participants with valid stream support in both summer and winter.,"Valid support is any non-missing ICARUS PPM PM1, PM2.5, or PM10 value inside the campaign window."
PPM personal PM common-support analysis,Milan,54,45,32,Unique city-prefixed participants with valid stream support in both summer and winter.,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.
PPM personal PM common-support analysis,Thessaloniki,51,57,34,Unique city-prefixed participants with valid stream support in both summer and winter.,Valid support requires complete ordered PM1 <= PM2.5 <= PM10 triplets before daily aggregation.
uHoo residential IAQ analysis,Milan,28,38,25,Unique city-prefixed participants with valid stream support in both summer and winter.,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.
uHoo residential IAQ analysis,Thessaloniki,21,18,16,Unique city-prefixed participants with valid stream support in both summer and winter.,Valid support is any non-missing uHoo residential IAQ value inside the campaign window.
Garmin heart-rate/stress analysis,Milan,55,59,37,Unique city-prefixed participants with valid stream support in both summer and winter.,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.
Garmin heart-rate/stress analysis,Thessaloniki,58,40,25,Unique city-prefixed participants with valid stream support in both summer and winter.,Valid support is non-missing average heart rate or stress after applying the current heart-rate plausibility filter.
Garmin sleep data availability,Milan,44,50,26,Unique city-prefixed participants with valid stream support in both summer and winter.,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.
Garmin sleep data availability,Thessaloniki,55,33,20,Unique city-prefixed participants with valid stream support in both summer and winter.,Sleep stages are reconstructed from harmonized rows; sleep efficiency is unavailable and is not counted.
Garmin sleep + residential IAQ complete-case model input,Milan,8,23,6,Unique city-prefixed participants with valid stream support in both summer and winter.,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.
Garmin sleep + residential IAQ complete-case model input,Thessaloniki,3,6,1,Unique city-prefixed participants with valid stream support in both summer and winter.,Complete cases require sleep Total/Light/Deep/REM plus all currently available uHoo residential IAQ predictors.
HIA daily PM input,Milan,54,45,32,Unique city-prefixed participants with valid stream support in both summer and winter.,Matches the common-support daily personal PPM input used for scenario-based HIA.
HIA daily PM input,Thessaloniki,51,57,34,Unique city-prefixed participants with valid stream support in both summer and winter.,Matches the common-support daily personal PPM input used for scenario-based HIA.
